word,cases
abs,abl.
absque,abl.
ad,acc.
adversum,acc.
adversus,acc.
ante,acc.
apud,acc.
circiter,acc.
circum,acc.
circā,acc.
contrā,acc.
coram,abl.
cum,abl.
de,abl.
erga,acc.
extrā,acc.
in,"acc.; abl."
infra,acc.
instar,gen.
inter,acc.
intra,acc.
iuxta,acc.
ob,acc.
penes,acc.
per,acc.
pone,acc.
post,acc.
prae,abl.
praeter,acc.
prope,acc.
propter,acc.
prō,abl.
secundum,acc.
sine,abl.
sub,"acc.; abl."
subter,"acc.; abl."
super,"acc.; abl."
suprā,acc.
tenus,"abl.; gen."
trans,acc.
ultra,acc.
versus,acc.
ā,abl.
ē,abl.
